"setting","value"
"species","Engraulis encrasicolus"
"region","Mediterranean Sea"
"environmental_data_source","Bio-ORACLE v3 surface ocean climate layers"
"future_scenario","SSP245"
"future_year","2050"
"sdm_threshold_method","maximum test-set TSS"
"sdm_threshold","0.4834"
"sdm_test_tss","0.576"
"sdm_test_sensitivity","0.703"
"sdm_test_specificity","0.873"
"predictor_correlation_cutoff","0.85"
"predictor_vif_limit","5"
"minimum_retained_predictors","6"
"sdm_retained_predictor_count","7"
"exposure_retained_predictor_count","7"
"sdm_retained_predictors","temperature_mean, temperature_range, salinity_range, ph_mean, chlorophyll_mean, sea_water_speed_mean, sea_water_speed_range"
"exposure_retained_predictors","temperature_mean, temperature_range, salinity_range, ph_mean, chlorophyll_mean, sea_water_speed_mean, sea_water_speed_range"
"boundary_quantile","0.95"
"tolerance","1.08493976352002"
"stable_climate_change","3.70937745705327"
"stable_reconfiguration","2.2814574615655"
"boundary_exceedance_tolerance","0"
"conflict_ratio","0.25"
