"setting","value"
"species","Engraulis encrasicolus"
"region","Mediterranean Sea"
"occurrence_source","OBIS presence records clipped to the Mediterranean Sea"
"occurrence_record_count","1480"
"presence_cell_count","462"
"background_definition","random background cells from analysable Mediterranean cells excluding occurrence cells"
"background_cell_count","462"
"background_to_presence_ratio","1.00"
"test_fraction","0.3"
"presence_train_count","324"
"background_train_count","324"
"presence_test_count","138"
"background_test_count","138"
"sdm_algorithm","maxnet presence-background model"
"sdm_output_used_by_climniche","continuous suitability used as reference weights"
"sdm_threshold_method","maximum test-set TSS"
"sdm_threshold","0.6165"
"sdm_test_auc","0.859"
"sdm_test_tss","0.572"
"sdm_test_sensitivity","0.681"
"sdm_test_specificity","0.891"
